"Reference","Qty","Value","DNP","Footprint","MPN","Manufacturer"
"H3,H5","2","36003160S","","","36003160S","Wurth Elektronik"
"H1,H7","2","36103166S","","MokyaLora:36103166S","36103166S","Wurth Elektronik"
"J8","1","009155003301006","","MokyaLora:009155003301006","009155003301006","Kyocera AVX"
"U8","1","4259-63","","MokyaLora:SOT65P210X110-6N","4259-63","Peregrine Semiconductor"
"J3","1","54132-4062","","MokyaLora:54132-4062_1","54132-4062",""
"X1","1","12MHz","","MokyaLora:Crystal_SMD_3225-4Pin_3.2x2.5mm","ABM8-272-T3","ABRACON"
"C93","1","1pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN1R0","YAGEO"
"C94","1","1.5pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN1R5","YAGEO"
"C42,C95","2","1.8pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN1R8","YAGEO"
"C65,C96","2","2pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN2R0","YAGEO"
"C97","1","2.2pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN2R2","YAGEO"
"C47","1","2.4pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN2R4","YAGEO"
"C49","1","2.4pF","DNP","MokyaLora:C_0402_1005","AC0402BRNPO9BN2R4","YAGEO"
"C98","1","2.7pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN2R7","YAGEO"
"C99","1","3pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN3R0","YAGEO"
"C46,C100","2","3.3pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN3R3","YAGEO"
"C101","1","4.3pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN4R3","YAGEO"
"C103","1","4.7pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN4R7","YAGEO"
"C102","1","5.6pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN5R6","YAGEO"
"C104","1","6.8pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN6R8","YAGEO"
"C105","1","8.2pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BN8R2","YAGEO"
"C63,C64,C66","3","0.5pF","DNP","MokyaLora:C_0402_1005","AC0402BRNPO9BNR50","YAGEO"
"C67","1","0.5pF","","MokyaLora:C_0402_1005","AC0402BRNPO9BNR50","YAGEO"
"C51,C57","2","3pF","","MokyaLora:C_0402_1005","AC0402CRNPO9BN3R0","YAGEO"
"C54,C55","2","3.3pF","","MokyaLora:C_0402_1005","AC0402CRNPO9BN3R3","YAGEO"
"C56","1","4pF","","MokyaLora:C_0402_1005","AC0402CRNPO9BN4R0","YAGEO"
"C45","1","8.2pF","DNP","MokyaLora:C_0402_1005","AC0402DRNPO9BN8R2","YAGEO"
"C48","1","8.2pF","","MokyaLora:C_0402_1005","AC0402DRNPO9BN8R2","YAGEO"
"R8,R9,R10,R11,R12,R13,R16,R17,R19,R23,R24,R28,R31,R32,R34,R36,R37,R38,R39,R40,R41,R54,R55,R57,R58,R59,R60,R61","28","0","","MokyaLora:R_0402_1005","AC0402FR-070RL","YAGEO"
"R27,R35","2","0","DNP","MokyaLora:R_0402_1005","AC0402FR-070RL","YAGEO"
"R20,R21","2","100k","DNP","MokyaLora:R_0402_1005","AC0402FR-07100KL","YAGEO"
"R30","1","100k","","MokyaLora:R_0402_1005","AC0402FR-07100KL","YAGEO"
"R43","1","1.8M","","MokyaLora:R_0402_1005","AC0402FR-071M8L","YAGEO"
"R49,R50,R52,R103","4","2.2k","","MokyaLora:R_0402_1005","AC0402FR-072K2L",""
"R48","1","30.1k","","MokyaLora:R_0402_1005","AC0402FR-0730K1L","YAGEO"
"R47","1","5.23k","","MokyaLora:R_0402_1005","AC0402FR-075K23L","YAGEO"
"R14,R15","2","8.25k","","MokyaLora:R_0402_1005","AC0402FR-078K25L","YAGEO"
